DEVICEID,TRAVELID,SJ,LANEID,SPEED,FTNODE
916,17f5ccd1aea1ae8d88212352d933459c,2019/7/3 9:30,3,12.57296536,5021_5012
916,2fe4686250407c27e8e57f99cd09ed98,2019/7/3 9:30,4,30.47083982,5021_5012
916,501d2e074306ecbe605a674f6ce303e7,2019/7/3 9:30,3,19.31464147,5021_5012
916,08a1f560d2e6ceee2f8d04070ce913a8,2019/7/3 9:30,4,39.2087209,5021_5012
916,a53220832ec6347229180cdb1d306769,2019/7/3 9:30,1,27.4439027,5021_5012
916,3706f3c1673a1b9e853e61a1afcc06cc,2019/7/3 9:30,1,23.946155,5021_5012
916,1cf90911f3e82e34797e1af9ae44a624,2019/7/3 9:30,3,46.98850433,5021_5012
916,ace7f79e8789561a62eaca2bba2518b8,2019/7/3 9:30,4,46.80125082,5021_5012
916,c611c9c2c9b12ed0290561a3609c9d4f,2019/7/3 9:30,2,35.61842411,5021_5012
916,6fba2e82779088d4193d3b329dbb54f2,2019/7/3 9:30,3,12.64404438,5021_5012
916,a1158504e0608128981536c5a5e8c9cc,2019/7/3 9:30,1,33.20141196,5021_5012
916,ac476020d85982dd692151b44abd53d8,2019/7/3 9:30,1,35.35307382,5021_5012
915,e6d68ddf3d8aee0d76f640d0cab54507,2019/7/3 9:31,1.19E+18,35.26825562,5021_5012
915,808a1475f3f5f838aca1e46a35ae4fbb,2019/7/3 9:31,3,19.96935787,5021_5012
915,251ac69e6178e08e1d0c17bc3250c20f,2019/7/3 9:31,1,11.84493381,5021_5012
915,debda15e94b0f60a42cfb623560366aa,2019/7/3 9:31,1,13.93273538,5021_5012
915,c738169d019b37d659d973269b7eaac7,2019/7/3 9:31,2,35.04624354,5021_5012
915,dfde08addc6fd0f7c71822022553fd50,2019/7/3 9:31,3,35.61850734,5021_5012
915,139d6cff54f34f6ae094b944be7fee09,2019/7/3 9:31,3,19.96935787,5021_5012
915,30386392ec3561f57b53de153f095878,2019/7/3 9:31,1.19E+18,35.06045523,5021_5012
915,2a9fbae1194d2256345a303b599a2f44,2019/7/3 9:31,3,35.28273555,5021_5012
915,46417b9d031952db3fb6b88fb5db0209,2019/7/3 9:31,1,35.65869768,5021_5012
916,e6d68ddf3d8aee0d76f640d0cab54507,2019/7/3 9:31,3,35.26825562,5021_5012
